Praise for	Praise for	Похвала за	Praise for
In this exchange, Angel gained valuable information that she didn’t have before getting to know these parts. Her biggest takeaway was that neither part wanted her to feel worthless. They were both protecting the same exile. Go Along to Get Along protected Angel from feeling worthless by meeting others’ needs and requests in order to prove her value. If others see her as invaluable, she will not feel worthless, this part reasons. Bulldog’s strategy was to get angry, challenge, and criticize when Angel experienced worthlessness. Both Go Along to Get Along and Bulldog are protectors in Angel’s system. Go Along to Get Along is a manager who is working to keep Angel from ever feeling the worthlessness of the exile, and Bulldog is a firefighter who springs into action when Angel feels devalued and worthless. When these two parts gained awareness of how similar their roles are, they relaxed and granted access to the exile they both protected.	In this exchange, Angel gained valuable information that she didn’t have before getting to know these parts. Her biggest takeaway was that neither part wanted her to feel worthless. They were both protecting the same exile. Go Along to Get Along protected Angel from feeling worthless by meeting others’ needs and requests in order to prove her value. If others see her as invaluable, she will not feel worthless, this part reasons. Bulldog’s strategy was to get angry, challenge, and criticize when Angel experienced worthlessness. Both Go Along to Get Along and Bulldog are protectors in Angel’s system. Go Along to Get Along is a manager who is working to keep Angel from ever feeling the worthlessness of the exile, and Bulldog is a firefighter who springs into action when Angel feels devalued and worthless. When these two parts gained awareness of how similar their roles are, they relaxed and granted access to the exile they both protected.	В ходе этого разговора Ангел получила ценную информацию, которой у нее не было до знакомства с этими местами. Ее самым большим выводом было то, что ни одна из сторон не хотела, чтобы она чувствовала себя никчемной. Они оба защищали одного и того же изгнанника. Программа «Иди вместе, чтобы ладить» защитила Ангел от чувства никчемности, удовлетворяя нужды и запросы других, чтобы доказать свою ценность. Если другие видят в ней бесценную ценность, она не будет чувствовать себя никчемной, рассуждает эта часть. Стратегия Бульдога заключалась в том, чтобы злиться, бросать вызов и критиковать, когда Ангел чувствовал свою никчемность. И «Иди, чтобы ладить», и Бульдог — защитники в системе Ангела. «Иди вместе, чтобы ладить» — менеджер, который работает над тем, чтобы Ангел никогда не чувствовал никчемности изгнанника, а Бульдог — пожарный, который бросается в бой, когда Ангел чувствует себя обесцененным и бесполезным. Когда эти две части осознали, насколько схожи их роли, они расслабились и предоставили доступ к изгнаннику, которого оба защищали.	In this exchange, Angel gained valuable information that she didn’t have before getting to know these parts. Her biggest takeaway was that neither part wanted her to feel worthless. They were both protecting the same exile. Go Along to Get Along protected Angel from feeling worthless by meeting others’ needs and requests in order to prove her value. If others see her as invaluable, she will not feel worthless, this part reasons. Bulldog’s strategy was to get angry, challenge, and criticize when Angel experienced worthlessness. Both Go Along to Get Along and Bulldog are protectors in Angel’s system. Go Along to Get Along is a manager who is working to keep Angel from ever feeling the worthlessness of the exile, and Bulldog is a firefighter who springs into action when Angel feels devalued and worthless. When these two parts gained awareness of how similar their roles are, they relaxed and granted access to the exile they both protected.
Parts will give access to the vulnerable exile they protect when they feel heard. In the case of a polarization, the part needs to be heard and understood not only by the Self but also by the parts it’s polarized with. If parts do not allow access to the exile, it means you need to take more time to get to know these parts. It is important to discover what they are afraid would happen if they let you connect with the one they protect. Again, you need to hear them out, express compassion and curiosity for their concerns. Sometimes, it is too difficult to access an exile on your own, and it may require professional help. (See “Still Listening Resources” at the end of this book to locate a therapist or practitioner if you need to.)	Parts will give access to the vulnerable exile they protect when they feel heard. In the case of a polarization, the part needs to be heard and understood not only by the Self but also by the parts it’s polarized with. If parts do not allow access to the exile, it means you need to take more time to get to know these parts. It is important to discover what they are afraid would happen if they let you connect with the one they protect. Again, you need to hear them out, express compassion and curiosity for their concerns. Sometimes, it is too difficult to access an exile on your own, and it may require professional help. (See “Still Listening Resources” at the end of this book to locate a therapist or practitioner if you need to.)	Части откроют доступ к уязвимому изгнаннику, которого они защищают, когда почувствуют, что их услышали. В случае поляризации часть должна быть услышана и понята не только Самостью, но и частями, с которыми она поляризована. Если части не открывают доступ к изгнанию, значит, вам нужно потратить больше времени на знакомство с этими частями. Важно выяснить, чего они боятся, если они позволят вам связаться с тем, кого они защищают. Опять же, вам нужно выслушать их, выразить сострадание и интерес к их проблемам. Иногда самостоятельно получить доступ к изгнанию слишком сложно, и может потребоваться профессиональная помощь. (См. «Ресурсы для того, чтобы все еще слушать» в конце этой книги, чтобы найти терапевта или практикующего врача, если вам нужно.)	Parts will give access to the vulnerable exile they protect when they feel heard. In the case of a polarization, the part needs to be heard and understood not only by the Self but also by the parts it’s polarized with. If parts do not allow access to the exile, it means you need to take more time to get to know these parts. It is important to discover what they are afraid would happen if they let you connect with the one they protect. Again, you need to hear them out, express compassion and curiosity for their concerns. Sometimes, it is too difficult to access an exile on your own, and it may require professional help. (See “Still Listening Resources” at the end of this book to locate a therapist or practitioner if you need to.)
Meditation: Polarization Picnic	Meditation: Polarization Picnic	Медитация: пикник поляризации	Meditation: Polarization Picnic
The Polarization Picnic meditation is the sixth given to me by my ancestors. At the time I received this, I had been going back and forth about whether it was time to significantly reduce my private practice caseload. My burgeoning IFS consultation business and my pursuit of becoming an IFS trainer were requiring significantly more attention and time. One day I had certainty about cutting back my practice, and the very next day, I’d convince myself not to. During this dilemma, my generous and wise ancestors gifted me with the Polarization Picnic meditation. By listening to each side of my polarization, I gained clarity and ultimately was able to make a Self-led decision about my practice.	The Polarization Picnic meditation is the sixth given to me by my ancestors. At the time I received this, I had been going back and forth about whether it was time to significantly reduce my private practice caseload. My burgeoning IFS consultation business and my pursuit of becoming an IFS trainer were requiring significantly more attention and time. One day I had certainty about cutting back my practice, and the very next day, I’d convince myself not to. During this dilemma, my generous and wise ancestors gifted me with the Polarization Picnic meditation. By listening to each side of my polarization, I gained clarity and ultimately was able to make a Self-led decision about my practice.	Медитация «Поляризационный пикник» — шестая медитация, данная мне моими предками. В то время, когда я получил это письмо, я размышлял о том, не пора ли значительно сократить нагрузку на мою частную практику. Мой растущий консультационный бизнес по IFS и мое стремление стать тренером IFS требовали значительно больше внимания и времени. Однажды я был уверен, что сокращу свою практику, а уже на следующий день убедил себя не делать этого. Во время этой дилеммы мои щедрые и мудрые предки подарили мне медитацию «Поляризационный пикник». Прислушиваясь к каждой стороне своей поляризации, я обрел ясность и, в конечном итоге, смог принять самостоятельное решение относительно своей практики.	The Polarization Picnic meditation is the sixth given to me by my ancestors. At the time I received this, I had been going back and forth about whether it was time to significantly reduce my private practice caseload. My burgeoning IFS consultation business and my pursuit of becoming an IFS trainer were requiring significantly more attention and time. One day I had certainty about cutting back my practice, and the very next day, I’d convince myself not to. During this dilemma, my generous and wise ancestors gifted me with the Polarization Picnic meditation. By listening to each side of my polarization, I gained clarity and ultimately was able to make a Self-led decision about my practice.
This meditation invites you to get to know the story of two of your polarized parts, develop a relationship with them, and discover the vulnerable part they protect.	This meditation invites you to get to know the story of two of your polarized parts, develop a relationship with them, and discover the vulnerable part they protect.	Эта медитация предлагает вам узнать историю двух ваших поляризованных частей, развить с ними отношения и обнаружить уязвимую часть, которую они защищают.	This meditation invites you to get to know the story of two of your polarized parts, develop a relationship with them, and discover the vulnerable part they protect.
Find a comfortable seat.	Find a comfortable seat.	Найдите удобное сиденье.	Find a comfortable seat.
Close your eyes or soften your gaze.	Close your eyes or soften your gaze.	Закройте глаза или смягчите взгляд.	Close your eyes or soften your gaze.
Bring your awareness to your breath and just breathe.	Bring your awareness to your breath and just breathe.	Перенесите свое осознание на свое дыхание и просто дышите.	Bring your awareness to your breath and just breathe.
Breathe in for four counts and breathe out for four counts.	Breathe in for four counts and breathe out for four counts.	Вдохните на четыре счета и выдохните на четыре счета.	Breathe in for four counts and breathe out for four counts.
Do that a few times, increasing your relaxation.	Do that a few times, increasing your relaxation.	Сделайте это несколько раз, увеличивая расслабление.	Do that a few times, increasing your relaxation.
Visualize you’re in a park, sitting on a picnic blanket.	Visualize you’re in a park, sitting on a picnic blanket.	Представьте, что вы находитесь в парке и сидите на одеяле для пикника.	Visualize you’re in a park, sitting on a picnic blanket.
You have a picnic basket with a spread of your favorite foods, enough to feed you and several others.	You have a picnic basket with a spread of your favorite foods, enough to feed you and several others.	У вас есть корзина для пикника с набором ваших любимых продуктов, которой хватит, чтобы накормить вас и еще нескольких человек.	You have a picnic basket with a spread of your favorite foods, enough to feed you and several others.
While removing items from the basket, you hear arguing.	While removing items from the basket, you hear arguing.	Вынимая товары из корзины, вы слышите спор.	While removing items from the basket, you hear arguing.
You look in the direction of the disagreeable noise and see two parts of yourself.	You look in the direction of the disagreeable noise and see two parts of yourself.	Вы смотрите в сторону неприятного шума и видите две части себя.	You look in the direction of the disagreeable noise and see two parts of yourself.
They are speaking in raised tones with neither listening.	They are speaking in raised tones with neither listening.	Они говорят на повышенных тонах, но их никто не слушает.	They are speaking in raised tones with neither listening.
You do what you can to get their attention.	You do what you can to get their attention.	Вы делаете все возможное, чтобы привлечь их внимание.	You do what you can to get their attention.
When they notice, you invite them to join you on the blanket.	When they notice, you invite them to join you on the blanket.	Когда они это заметят, вы приглашаете их присоединиться к вам на одеяле.	When they notice, you invite them to join you on the blanket.
They sit down and start explaining their side of the argument.	They sit down and start explaining their side of the argument.	Они садятся и начинают объяснять свою точку зрения.	They sit down and start explaining their side of the argument.
Compassionately, you tell them you want to help.	Compassionately, you tell them you want to help.	Вы из сострадания говорите им, что хотите помочь.	Compassionately, you tell them you want to help.
Again, they respond by speaking over one another.	Again, they respond by speaking over one another.	И снова они отвечают, переговариваясь друг с другом.	Again, they respond by speaking over one another.
Share that you’re curious to get to know each of them one at a time.	Share that you’re curious to get to know each of them one at a time.	Поделитесь, что вам интересно познакомиться с каждым из них по отдельности.	Share that you’re curious to get to know each of them one at a time.
Reassure them that each will get a chance, and you will not allow one to take over.	Reassure them that each will get a chance, and you will not allow one to take over.	Убедите их, что у каждого будет шанс, и вы не позволите никому взять верх.	Reassure them that each will get a chance, and you will not allow one to take over.
Next, you ask them if they are willing to listen to each other.	Next, you ask them if they are willing to listen to each other.	Затем вы спрашиваете их, готовы ли они выслушать друг друга.	Next, you ask them if they are willing to listen to each other.
If they are not, listen and address their concerns.	If they are not, listen and address their concerns.	Если это не так, выслушайте и решите их проблемы.	If they are not, listen and address their concerns.
If they are, ask the first part why it is doing what it’s doing.	If they are, ask the first part why it is doing what it’s doing.	Если да, спросите первую часть, почему она делает то, что делает.	If they are, ask the first part why it is doing what it’s doing.
Then ask how it is trying to help.	Then ask how it is trying to help.	Затем спросите, как он пытается помочь.	Then ask how it is trying to help.
Once you have a sense of how this part is trying to help, turn to the second part and ask why it is doing what it’s doing.	Once you have a sense of how this part is trying to help, turn to the second part and ask why it is doing what it’s doing.	Как только вы поймете, как эта часть пытается помочь, обратитесь ко второй части и спросите, почему она делает то, что делает.	Once you have a sense of how this part is trying to help, turn to the second part and ask why it is doing what it’s doing.
Now ask how it is trying to help.	Now ask how it is trying to help.	Теперь спросите, как он пытается помочь.	Now ask how it is trying to help.
Notice how both parts are trying to help you and acknowledge their positive intent.	Notice how both parts are trying to help you and acknowledge their positive intent.	Обратите внимание, как обе части пытаются вам помочь, и признайте их позитивные намерения.	Notice how both parts are trying to help you and acknowledge their positive intent.
Ask them what their behavior costs them.	Ask them what their behavior costs them.	Спросите их, чего им стоит их поведение.	Ask them what their behavior costs them.
Allow each an opportunity to speak in turn.	Allow each an opportunity to speak in turn.	Дайте каждому возможность высказаться по очереди.	Allow each an opportunity to speak in turn.
When that feels complete, ask each of them what they are afraid would happen if they didn’t do this.	When that feels complete, ask each of them what they are afraid would happen if they didn’t do this.	Когда вы почувствуете, что все готово, спросите каждого из них, чего, по их мнению, произойдет, если они этого не сделают.	When that feels complete, ask each of them what they are afraid would happen if they didn’t do this.
Lastly, ask them to show you the vulnerable one they are protecting.	Lastly, ask them to show you the vulnerable one they are protecting.	Наконец, попросите их показать вам уязвимого человека, которого они защищают.	Lastly, ask them to show you the vulnerable one they are protecting.
If they do, let them know that you can help that part.	If they do, let them know that you can help that part.	Если да, дайте им знать, что вы можете помочь в этой части.	If they do, let them know that you can help that part.
If they do not, that’s okay. You may need to spend more time getting to know them.	If they do not, that’s okay. You may need to spend more time getting to know them.	Если они этого не делают, это нормально. Возможно, вам придется потратить больше времени на их знакомство.	If they do not, that’s okay. You may need to spend more time getting to know them.
Invite them to share your picnic meal, and over the meal, explore with the parts anything else they want to share with you.	Invite them to share your picnic meal, and over the meal, explore with the parts anything else they want to share with you.	Пригласите их разделить с вами еду для пикника, а во время еды вместе с частями изучите все, чем они хотят с вами поделиться.	Invite them to share your picnic meal, and over the meal, explore with the parts anything else they want to share with you.
Let them know you would like to continue connecting with them, and set intentions to do so.	Let them know you would like to continue connecting with them, and set intentions to do so.	Сообщите им, что вы хотели бы продолжить общение с ними, и поставьте перед собой такое намерение.	Let them know you would like to continue connecting with them, and set intentions to do so.
If it feels right, show them some appreciation for what they shared with you and each other.	If it feels right, show them some appreciation for what they shared with you and each other.	Если это кажется правильным, покажите им некоторую признательность за то, чем они поделились с вами и друг с другом.	If it feels right, show them some appreciation for what they shared with you and each other.
Bring your awareness to your breath and just breathe as you re-enter this moment and space.	Bring your awareness to your breath and just breathe as you re-enter this moment and space.	Сосредоточьте свое внимание на своем дыхании и просто дышите, возвращаясь в этот момент и пространство.	Bring your awareness to your breath and just breathe as you re-enter this moment and space.
Slowly open your eyes when you are ready.	Slowly open your eyes when you are ready.	Медленно откройте глаза, когда будете готовы.	Slowly open your eyes when you are ready.
Exercise 1: Journal Capture	Exercise 1: Journal Capture	Упражнение 1. Ведение журнала	Exercise 1: Journal Capture
Journal what you would like to capture from this meditation, like a revelation, reflection, or anything significant you want to remember from this experience.	Journal what you would like to capture from this meditation, like a revelation, reflection, or anything significant you want to remember from this experience.	Запишите то, что вы хотели бы уловить в результате этой медитации, например, откровение, размышление или что-то важное, что вы хотите запомнить из этого опыта.	Journal what you would like to capture from this meditation, like a revelation, reflection, or anything significant you want to remember from this experience.
Exercise 2: Polarization Picnic Journal Questions	Exercise 2: Polarization Picnic Journal Questions	Упражнение 2: Вопросы для журнала «Поляризация пикника»	Exercise 2: Polarization Picnic Journal Questions
After you’ve done the Polarization Picnic meditation and written your quick Journal Capture, take some time to explore more deeply by responding to the following journal prompts.	After you’ve done the Polarization Picnic meditation and written your quick Journal Capture, take some time to explore more deeply by responding to the following journal prompts.	После того, как вы выполнили медитацию «Поляризационный пикник» и написали быстрый «Захват журнала», потратьте некоторое время на более глубокое изучение, отвечая на следующие подсказки журнала.	After you’ve done the Polarization Picnic meditation and written your quick Journal Capture, take some time to explore more deeply by responding to the following journal prompts.
Who are your polarized parts?	Who are your polarized parts?	Кто ваши поляризованные части?	Who are your polarized parts?
Describe how your parts are polarized.	Describe how your parts are polarized.	Опишите, как поляризованы ваши части.	Describe how your parts are polarized.
Were your parts able to listen to each other? Why? Why not?	Were your parts able to listen to each other? Why? Why not?	Смогли ли ваши части услышать друг друга? Почему? Почему нет?	Were your parts able to listen to each other? Why? Why not?
What is the position of each part?	What is the position of each part?	Каково положение каждой части?	What is the position of each part?
Why is each part doing what they are doing?	Why is each part doing what they are doing?	Почему каждая часть делает то, что делает?	Why is each part doing what they are doing?
How is each part trying to help you?	How is each part trying to help you?	Как каждая часть пытается вам помочь?	How is each part trying to help you?
Who is the vulnerable one(s) your parts protect?	Who is the vulnerable one(s) your parts protect?	Кого уязвимы ваши части?	Who is the vulnerable one(s) your parts protect?
What are the situations and/or people in your life that activate these parts?	What are the situations and/or people in your life that activate these parts?	Какие ситуации и/или люди в вашей жизни активизируют эти части?	What are the situations and/or people in your life that activate these parts?
What more did you learn from these parts?	What more did you learn from these parts?	Что еще вы узнали из этих мест?	What more did you learn from these parts?
Exercise 3: Drawing the Polarized System	Exercise 3: Drawing the Polarized System	Упражнение 3. Рисование поляризованной системы	Exercise 3: Drawing the Polarized System
Before starting this exercise, get some drawing supplies: paper, markers, colored pencils, paints, whatever works for you. Then move through the steps of this exercise.	Before starting this exercise, get some drawing supplies: paper, markers, colored pencils, paints, whatever works for you. Then move through the steps of this exercise.	Прежде чем приступить к этому упражнению, приобретите принадлежности для рисования: бумагу, маркеры, цветные карандаши, краски — все, что вам подходит. Затем выполните шаги этого упражнения.	Before starting this exercise, get some drawing supplies: paper, markers, colored pencils, paints, whatever works for you. Then move through the steps of this exercise.
Step 1: Go inside and connect with the first part from the Polarization Picnic meditation. It may express itself with words, images, sensations, emotions, or a felt sense.	Step 1: Go inside and connect with the first part from the Polarization Picnic meditation. It may express itself with words, images, sensations, emotions, or a felt sense.	Шаг 1: Зайдите внутрь и соединитесь с первой частью медитации «Пикник поляризации». Он может выражать себя словами, образами, ощущениями, эмоциями или чувствами.	Step 1: Go inside and connect with the first part from the Polarization Picnic meditation. It may express itself with words, images, sensations, emotions, or a felt sense.
Step 2: Once you have a sense of this part, ask it how it wants to be represented on the page, then draw it.	Step 2: Once you have a sense of this part, ask it how it wants to be represented on the page, then draw it.	Шаг 2: Как только вы поймете эту часть, спросите ее, как она хочет быть представлена ​​на странице, а затем нарисуйте ее.	Step 2: Once you have a sense of this part, ask it how it wants to be represented on the page, then draw it.
Step 3: Go inside and connect with the second part from the Polarization Picnic meditation.	Step 3: Go inside and connect with the second part from the Polarization Picnic meditation.	Шаг 3: Зайдите внутрь и соединитесь со второй частью медитации «Пикник поляризации».	Step 3: Go inside and connect with the second part from the Polarization Picnic meditation.
Step 4: Once you have a sense of this part, ask it how it wants to be represented on the page and where it wants to be on the page in relationship to the first part, then draw it.	Step 4: Once you have a sense of this part, ask it how it wants to be represented on the page and where it wants to be on the page in relationship to the first part, then draw it.	Шаг 4: Как только вы поймете эту часть, спросите ее, как она хочет быть представлена ​​на странице и где она хочет находиться на странице по отношению к первой части, а затем нарисуйте ее.	Step 4: Once you have a sense of this part, ask it how it wants to be represented on the page and where it wants to be on the page in relationship to the first part, then draw it.
Step 5: Look at the first part you drew. How do you feel toward this part? If it is a quality of Self (compassion, curiosity, calm, confidence, creativity, connectedness, courage, or clarity), draw a representation of the quality of Self near the part. If it’s not a quality of Self, connect with this new part and draw it on the page where it wants to be placed.	Step 5: Look at the first part you drew. How do you feel toward this part? If it is a quality of Self (compassion, curiosity, calm, confidence, creativity, connectedness, courage, or clarity), draw a representation of the quality of Self near the part. If it’s not a quality of Self, connect with this new part and draw it on the page where it wants to be placed.	Шаг 5: Посмотрите на первую часть, которую вы нарисовали. Как вы относитесь к этой части? Если это качество Личности (сострадание, любопытство, спокойствие, уверенность, творчество, связность, смелость или ясность), нарисуйте изображение качества Личности рядом с этой деталью. Если это не качество Самости, соединитесь с этой новой частью и нарисуйте ее на странице, где она хочет быть размещена.	Step 5: Look at the first part you drew. How do you feel toward this part? If it is a quality of Self (compassion, curiosity, calm, confidence, creativity, connectedness, courage, or clarity), draw a representation of the quality of Self near the part. If it’s not a quality of Self, connect with this new part and draw it on the page where it wants to be placed.
Step 6: Look at the second part you drew. How do you feel toward this part? If it is a quality of Self (compassion, curiosity, calm, confidence, creativity, connectedness, courage, or clarity), draw a representation of the quality of Self near the part. If it’s not a quality of Self, connect with this new part and draw it on the page where it wants to be placed.	Step 6: Look at the second part you drew. How do you feel toward this part? If it is a quality of Self (compassion, curiosity, calm, confidence, creativity, connectedness, courage, or clarity), draw a representation of the quality of Self near the part. If it’s not a quality of Self, connect with this new part and draw it on the page where it wants to be placed.	Шаг 6: Посмотрите на вторую часть, которую вы нарисовали. Как вы относитесь к этой части? Если это качество Личности (сострадание, любопытство, спокойствие, уверенность, творчество, связность, смелость или ясность), нарисуйте изображение качества Личности рядом с этой деталью. Если это не качество Самости, соединитесь с этой новой частью и нарисуйте ее на странице, где она хочет быть размещена.	Step 6: Look at the second part you drew. How do you feel toward this part? If it is a quality of Self (compassion, curiosity, calm, confidence, creativity, connectedness, courage, or clarity), draw a representation of the quality of Self near the part. If it’s not a quality of Self, connect with this new part and draw it on the page where it wants to be placed.
Step 7: Take some time to look at your parts on the page. Take as long as you need. As you look at your polarized system, what do you notice?	Step 7: Take some time to look at your parts on the page. Take as long as you need. As you look at your polarized system, what do you notice?	Шаг 7: Найдите время, чтобы просмотреть свои части на странице. Возьмите столько времени, сколько вам нужно. Что вы замечаете, глядя на свою поляризованную систему?	Step 7: Take some time to look at your parts on the page. Take as long as you need. As you look at your polarized system, what do you notice?
Step 8: You can continue to connect with your polarized system using your drawing to get to know more about each of these parts.	Step 8: You can continue to connect with your polarized system using your drawing to get to know more about each of these parts.	Шаг 8: Вы можете продолжать подключаться к своей поляризованной системе, используя рисунок, чтобы узнать больше о каждой из этих частей.	Step 8: You can continue to connect with your polarized system using your drawing to get to know more about each of these parts.
CHAPTER 8	CHAPTER 8	ГЛАВА 8	CHAPTER 8
Waterfall	Waterfall	Водопад	Waterfall
Working with Trauma Expressed in the Body	Working with Trauma Expressed in the Body	Работа с травмой, выраженной в теле	Working with Trauma Expressed in the Body
I was a passenger in a terrible car accident at 19 years old. My boyfriend at the time was driving. He had a green arrow for a left turn when a car came through the intersection and T-boned us on my side of the car. My injuries made it necessary for me to leave my job and college studies to recover. The lasting effects of the accident were severe lower back pain that worsened in times of stress, overwork, and emotional challenge. I sought pain relief from a multitude of medications, physical therapies, yoga, and homeopathic remedies, but nothing provided sustained improvement. I lived with the limitations of excruciating back pain for 26 years before finding true relief.	I was a passenger in a terrible car accident at 19 years old. My boyfriend at the time was driving. He had a green arrow for a left turn when a car came through the intersection and T-boned us on my side of the car. My injuries made it necessary for me to leave my job and college studies to recover. The lasting effects of the accident were severe lower back pain that worsened in times of stress, overwork, and emotional challenge. I sought pain relief from a multitude of medications, physical therapies, yoga, and homeopathic remedies, but nothing provided sustained improvement. I lived with the limitations of excruciating back pain for 26 years before finding true relief.	В 19 лет я был пассажиром ужасной автокатастрофы. Мой парень в это время был за рулем. У него была зеленая стрелка для поворота налево, когда машина проезжала перекресток и врезалась в нас с моей стороны машины. Из-за травм мне пришлось оставить работу и учебу в колледже, чтобы восстановиться. Последствиями аварии стали сильные боли в пояснице, которые усиливались во время стресса, переутомления и эмоциональных испытаний. Я искал облегчения боли с помощью множества лекарств, физиотерапии, йоги и гомеопатических средств, но ничто не давало устойчивого улучшения. Я жил с мучительной болью в спине в течение 26 лет, прежде чем нашел истинное облегчение.	I was a passenger in a terrible car accident at 19 years old. My boyfriend at the time was driving. He had a green arrow for a left turn when a car came through the intersection and T-boned us on my side of the car. My injuries made it necessary for me to leave my job and college studies to recover. The lasting effects of the accident were severe lower back pain that worsened in times of stress, overwork, and emotional challenge. I sought pain relief from a multitude of medications, physical therapies, yoga, and homeopathic remedies, but nothing provided sustained improvement. I lived with the limitations of excruciating back pain for 26 years before finding true relief.
Two books, The Mindbody Prescription: Healing the Body, Healing the Pain, by Dr. John Sarno,1 and The MindBody Workbook: A Thirty Day Program of Insight and Awareness for People with Back Pain and Other Disorders, by Dr. David Schechter,2 changed the course of how my parts used my body and back pain to communicate with me. Although neither book expressly mentions parts, they both speak of “repressed emotions” such as anger, fear, and unresolved grief and “aspects of personality” such as people pleasing, perfectionism, criticism, controlling, and over-responsibility, all of which are ways parts express in their extreme states.	Two books, The Mindbody Prescription: Healing the Body, Healing the Pain, by Dr. John Sarno,1 and The MindBody Workbook: A Thirty Day Program of Insight and Awareness for People with Back Pain and Other Disorders, by Dr. David Schechter,2 changed the course of how my parts used my body and back pain to communicate with me. Although neither book expressly mentions parts, they both speak of “repressed emotions” such as anger, fear, and unresolved grief and “aspects of personality” such as people pleasing, perfectionism, criticism, controlling, and over-responsibility, all of which are ways parts express in their extreme states.	Две книги: «Рецепт для тела и тела: исцеление тела, исцеление боли» доктора Джона Сарно1 и «Рабочая тетрадь MindBody: тридцатидневная программа понимания и осознания для людей с болями в спине и другими заболеваниями» доктора Дэвида Шехтера. 2 изменил способ того, как мои части использовали мое тело и боль в спине для общения со мной. Хотя ни в одной книге конкретно не упоминаются отдельные части, в обеих говорится о «подавленных эмоциях», таких как гнев, страх и неразрешимое горе, а также о «аспектах личности», таких как угождение людям, перфекционизм, критика, контроль и чрезмерная ответственность. способы выражения частей в своих крайних состояниях.	Two books, The Mindbody Prescription: Healing the Body, Healing the Pain, by Dr. John Sarno,1 and The MindBody Workbook: A Thirty Day Program of Insight and Awareness for People with Back Pain and Other Disorders, by Dr. David Schechter,2 changed the course of how my parts used my body and back pain to communicate with me. Although neither book expressly mentions parts, they both speak of “repressed emotions” such as anger, fear, and unresolved grief and “aspects of personality” such as people pleasing, perfectionism, criticism, controlling, and over-responsibility, all of which are ways parts express in their extreme states.
At the time I read these two books, my life was driven by each of these aspects of personality (parts) and the repressed emotions (parts) of rage, rejection, and shame. I would not allow myself to accept how inadequate I felt as a parent of a child who experienced an unbelievable amount of trauma in the foster care system prior to me adopting her. I believed my education and training as a social worker and my profession as a psychotherapist meant I should be able to help my child recover from their traumatic experiences, and simultaneously I carried the shame of my inability to do so.	At the time I read these two books, my life was driven by each of these aspects of personality (parts) and the repressed emotions (parts) of rage, rejection, and shame. I would not allow myself to accept how inadequate I felt as a parent of a child who experienced an unbelievable amount of trauma in the foster care system prior to me adopting her. I believed my education and training as a social worker and my profession as a psychotherapist meant I should be able to help my child recover from their traumatic experiences, and simultaneously I carried the shame of my inability to do so.	В то время, когда я читал эти две книги, моя жизнь определялась каждым из этих аспектов личности (частей) и подавленными эмоциями (частями) гнева, неприятия и стыда. Я не позволил себе смириться с тем, насколько неадекватным я себя чувствовал как родитель ребенка, который перенес невероятную травму в системе приемной семьи до того, как я ее усыновил. Я верил, что мое образование и подготовка социального работника, а также моя профессия психотерапевта означают, что я должен быть в состоянии помочь моему ребенку оправиться от травматического опыта, и одновременно я носил стыд за свою неспособность сделать это.	At the time I read these two books, my life was driven by each of these aspects of personality (parts) and the repressed emotions (parts) of rage, rejection, and shame. I would not allow myself to accept how inadequate I felt as a parent of a child who experienced an unbelievable amount of trauma in the foster care system prior to me adopting her. I believed my education and training as a social worker and my profession as a psychotherapist meant I should be able to help my child recover from their traumatic experiences, and simultaneously I carried the shame of my inability to do so.
